iter	Logloss
428	0.1625426574
429	0.1620751916
430	0.1615984369
431	0.1609620489
432	0.1605841209
433	0.1600830961
434	0.1597918321
435	0.1594483372
436	0.1588886289
437	0.1581081741
438	0.1575747589
439	0.1572212565
440	0.1567037578
441	0.1561865025
442	0.1554783344
443	0.1551844652
444	0.1548877251
445	0.1544317259
446	0.1540020399
447	0.1537359376
448	0.1533951246
449	0.1530133317
450	0.152611347
451	0.1524419532
452	0.152041902
453	0.1512891109
454	0.1508325162
455	0.1502648755
456	0.1497193212
457	0.1491977909
458	0.1485783873
459	0.148084003
460	0.1476098278
461	0.1470139786
462	0.1467248865
463	0.1462774477
464	0.1458946638
465	0.1454092911
466	0.1447343216
467	0.1445226395
468	0.1441595985
469	0.1438692298
470	0.143446527
471	0.1431357665
472	0.1426849019
473	0.1424001127
474	0.1417731516
475	0.1413272243
476	0.1406962707
477	0.1402558107
478	0.1399371281
479	0.1395161731
480	0.1389138777
481	0.1382081813
482	0.1376664157
483	0.137409542
484	0.1369774953
485	0.1366356247
486	0.1362080337
487	0.1357743886
488	0.1353892075
489	0.1348588151
490	0.1343425909
491	0.1339973182
492	0.1335962821
493	0.1334162721
494	0.1332569436
495	0.1328812187
496	0.1323442893
497	0.1319335964
498	0.1315800834
499	0.1312756052
